"ModeloCarro","id","GeotabId","ChargeIsEstimated","ChargeType","StartTime","DeviceId","DurationTicks","EndStateOfCharge","EnergyConsumedKwh","EnergyUsedSinceLastChargeKwh","Latitude","Longitude","MaxACVoltage","MeasuredBatteryEnergyInKwh","MeasuredBatteryEnergyOutKwh","MeasuredOnBoardChargerEnergyInKwh","MeasuredOnBoardChargerEnergyOutKwh","PeakPowerKw","StartStateOfCharge","TripStop","Version","RecordCreationTimeUtc"
"Kangoo Z.E. MAXI 5 Lugares 2P","2450","a98ioDim52kCaAmdzH89YAQ",True,"AC","2024-04-10 18:38:18","b48F","5650500000","61","1.0681818723678589","8.960000038146973","-23.51319122314453","-46.71531677246094",NULL,"0.9399999976158142","0","0","0",NULL,"58.0001220703125","2024-04-10 18:34:14.063","2290988","2024-04-10 20:03:05.580012"
"Kangoo Z.E. MAXI 5 Lugares 2P","3088","aLXdSSz6BfECPH0OzsvLoPA",True,"AC","2024-04-10 18:38:18","b48F","5650500000","61","1.0681818723678589","8.960000038146973","-23.51319122314453","-46.71531677246094",NULL,"0.9399999976158142","0","0","0",NULL,"58.0001220703125","2024-04-10 18:34:14.063","2292373","2024-04-10 20:16:55.731911"
"Kangoo Z.E. MAXI 2 Lugares 2P","3043","aEGJpHySez0WMEnyFU7gbgg",True,"AC","2024-04-10 18:20:42","b719","8809270000","75","1.670454502105713","10.199999809265137","-23.511808395385742","-46.743858337402344",NULL,"1.4700000286102295","0","0","0","-0.5454545617103577","70","2024-04-10 18:20:15","2292322","2024-04-10 20:10:19.69684"
"Kangoo Z.E. MAXI 2 Lugares 2P","2247","aE4tbLec_Zk-eZ1MfSHRIog",True,"AC","2024-04-10 18:20:35.02","b1101","41802070000","54.001617431640625","0","12.720000267028809","-23.49706268310547","-46.8037109375",NULL,"0","0","0","0","-1.2136363983154297","54.001617431640625","2024-04-10 18:18:27","2291852","2024-04-10 20:03:05.580012"
"Kangoo Z.E. MAXI 2 Lugares 2P","2781","axKc-3hTT-kin88gMgb3DOQ",True,"AC","2024-04-10 18:17:56","b895","23689370000","53","0","15.529999732971191","-21.200639724731445","-47.75480270385742",NULL,"0","0","0","0","-38.282955169677734","53","2024-04-10 18:17:56.063","2292149","2024-04-10 20:04:09.943701"
"Kangoo Z.E. MAXI 2 Lugares 2P","3182","aGgd269dAcEClTJdaQ7Lvdw",True,"AC","2024-04-10 18:17:31","b22F","21043400000","42","4.045454502105713","17.600000381469727","-23.960294723510742","-46.46998977661133",NULL,"3.559999942779541","0","0","0","-0.5079545378684998","31","2024-04-10 18:15:55","2292467","2024-04-10 20:18:58.115485"
"Kangoo Z.E. MAXI 2 Lugares 2P","879","a_4pMxh52AEmjzk5lo865Ag",True,"AC","2024-04-10 18:17:31","b22F","21043400000","42","4.045454502105713","17.600000381469727","-23.960294723510742","-46.46998977661133",NULL,"3.559999942779541","0","0","0","-0.5079545378684998","31","2024-04-10 18:15:55","2291091","2024-04-10 20:03:05.580012"
"E- Scudo 4P","2446","ajT6xWBZDP0KcuGQt_4eRtQ",True,"AC","2024-04-10 18:03:20","b112A","23498900000","60.625","3.6477272510528564","31.020000457763672","-23.102157592773438","-46.71444320678711",NULL,"3.2100000381469727","0","0","0","-0.09090909361839294","55.75","2024-04-10 18:01:09.063","2291136","2024-04-10 20:03:05.580012"
"E- Scudo 4P","3110","aV2Q4hnRLV0C3ZBxGXcBMXg",True,"AC","2024-04-10 18:03:20","b112A","23498900000","60.625","3.6477272510528564","31.020000457763672","-23.102157592773438","-46.71444320678711",NULL,"3.2100000381469727","0","0","0","-0.09090909361839294","55.75","2024-04-10 18:01:09.063","2292392","2024-04-10 20:17:56.970788"
"E-Jumpy","2476","aZC_MuGJ1D0-rPKsrJUwjzw",True,"AC","2024-04-10 18:02:31","bC87","14595930000","56.75","2.5113637447357178","29.84000015258789","-23.191730499267578","-46.673152923583984",NULL,"2.2100000381469727","0","0","0","-0.4534091055393219","53","2024-04-10 18:01:28","2291791","2024-04-10 20:03:05.580012"
