Id;ModeloCarro;DeviceId;ChargeType;DurationTicks;StartStateOfCharge;EndStateOfCharge;MeasuredBatteryEnergyInKwh;PeakPowerKw;DeltaSOC;DurationHours;valor_predito;confian�aa;MeasuredBatteryEnergyInKwh_Predict;Hit_Rate
0;KANGOO Z.E. MAXI 5 LUGARES 2P;b48F;AC;5650500000;58,00012207;61;0,939999998;;41,99987793;0,156958333;-65536;-65536;-65536;-65536
1;KANGOO Z.E. MAXI 5 LUGARES 2P;b48F;AC;5650500000;58,00012207;61;0,939999998;;41,99987793;0,156958333;-65536;-65536;-65536;-65536
2;KANGOO Z.E. MAXI 2 LUGARES 2P;b719;AC;8809270000;70;75;1,470000029;-0,545454562;30;0,244701944;-65536;-65536;3,424014076;0,696446431
3;KANGOO Z.E. MAXI 2 LUGARES 2P;b1101;AC;41802070000;54,00161743;54,00161743;0;-1,213636398;45,99838257;1,161168611;-65536;-65536;6,161035055;0,696446431
4;KANGOO Z.E. MAXI 2 LUGARES 2P;b895;AC;23689370000;53;53;0;-38,28295517;47;0,658038056;-65536;-65536;4,658439341;0,696446431
5;KANGOO Z.E. MAXI 2 LUGARES 2P;b22F;AC;21043400000;31;42;3,559999943;-0,507954538;69;0,584538889;-65536;-65536;4,438934619;0,696446431
6;KANGOO Z.E. MAXI 2 LUGARES 2P;b22F;AC;21043400000;31;42;3,559999943;-0,507954538;69;0,584538889;-65536;-65536;4,438934619;0,696446431
7;E- SCUDO 4P;b112A;AC;23498900000;55,75;60,625;3,210000038;-0,090909094;44,25;0,652747222;-65536;-65536;4,041184344;0,748404697
8;E- SCUDO 4P;b112A;AC;23498900000;55,75;60,625;3,210000038;-0,090909094;44,25;0,652747222;-65536;-65536;4,041184344;0,748404697
9;E-JUMPY;bC87;AC;14595930000;53;56,75;2,210000038;-0,453409106;47;0,4054425;-65536;-65536;4,014848078;0,716507305
10;JAC IEV1200T AT 4X2 2P;b2E6;AC;27286100000;39,5;44;4,46999979;;60,5;0,757947222;-65536;-65536;4,275575936;0,965379758
11;JAC IEV1200T AT 4X2 2P;b2E6;AC;27286100000;39,5;44;4,46999979;;60,5;0,757947222;-65536;-65536;4,275575936;0,965379758
12;JAC IEV1200T AT 4X2 2P;b2E6;DC;26400000;39,5;39,5;0;;60,5;0,000733333;-65536;-65536;-0,017055947;0,438444424
13;JAC IEV1200T AT 4X2 2P;b2E6;DC;26400000;39,5;39,5;0;;60,5;0,000733333;-65536;-65536;-0,017055947;0,438444424
14;JAC IEV1200T AT 4X2 2P;b2E6;DC;100630000;39,5;39,5;0;;60,5;0,002795278;-65536;-65536;0,005115387;0,438444424
15;JAC IEV1200T AT 4X2 2P;b2E6;DC;100630000;39,5;39,5;0;;60,5;0,002795278;-65536;-65536;0,005115387;0,438444424
16;JAC IEV1200T AT 4X2 2P;b2E6;DC;65570000;39,5;39,5;0;;60,5;0,001821389;-65536;-65536;-0,005356484;0,438444424
17;JAC IEV1200T AT 4X2 2P;b2E6;DC;65570000;39,5;39,5;0;;60,5;0,001821389;-65536;-65536;-0,005356484;0,438444424
18;JAC IEV1200T AT 4X2 2P;b2E8;AC;7233900000;69;70,5;1,179999948;-0,565909088;31;0,200941667;-65536;-65536;1,126067064;0,965379758
19;KANGOO Z.E. MAXI 2 LUGARES 2P;b114F;AC;229770000;63;63;0,01;-1,564772725;37;0,0063825;-65536;-65536;2,712274803;0,696446431
20;KANGOO Z.E. MAXI 2 LUGARES 2P;b114F;AC;229770000;63;63;0,01;-1,564772725;37;0,0063825;-65536;-65536;2,712274803;0,696446431
21;JAC IEV1200T AT 4X2 2P;b2E5;AC;49360730000;59,5;67,5;7,760000229;-0,253409088;40,5;1,371131389;-65536;-65536;7,742738793;0,965379758
