"id","GeotabId","ActiveFrom","ActiveTo","BaseType","Comment","Name","Version","EntityStatus","RecordLastChangedUtc"
"1","aVbG6ga6GOUGv105gZRFzwg","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","Move Smart - Sede Office","5272",1,"2024-04-10 20:02:52.45566"
"2","aUoGqBylcqkqMQJIDpEb1eQ","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","Estacionamento Murici","482",1,"2024-04-10 20:02:52.45991"
"3","a4jKG00EMzkK3K-2HYEOxPg","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Auto Tech Car Servic","4456",1,"2024-04-10 20:02:52.462883"
"4","aj0BAVzQa0U2F_QrRhmc4yg","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Joacaba Pneus - Joacaba","4341",1,"2024-04-10 20:02:52.465625"
"5","ar-ulKNAemkK8FuLzjut61Q","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Laudoteck Vistoria V","4824",1,"2024-04-10 20:02:52.468357"
"6","abe61poiPfEagpteetQOpzw","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","CONCORRENTE  - Shopee","5150",1,"2024-04-10 20:02:52.469138"
"7","axcXQeqpjakmVO5Bb_BO7Sw","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Dpaschoal Joinville","4405",1,"2024-04-10 20:02:52.469895"
"8","aRr1jh3A5YkSvIFOMp-fopA","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Hc Pneus","4448",1,"2024-04-10 20:02:52.470702"
"9","a7zjrjTxCd0qEeh6mIUW_CA","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","JARDIM MOGANTI - RISCO  Itaquera, São Paulo - SP, 08215-620, Brasil","5475",1,"2024-04-10 20:02:52.471482"
"10","aAFmVkDhyj0mAfOQu8vdRww","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Ofici Kar","4758",1,"2024-04-10 20:02:52.472223"
"11","ar6JR7AuQM0OqDphorXo15A","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Campneus Santana De Parnaíba","4799",1,"2024-04-10 20:02:52.472982"
"12","agxcWjzG7skqK9cy3JCW3-w","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - 3 Max Centro Automotivo","4261",1,"2024-04-10 20:02:52.473751"
"13","aNToExCaVAkOJUWuYJfx2GA","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - So Pneus","4555",1,"2024-04-10 20:02:52.474561"
"14","aPJIWKURXzke0ASce05xN8Q","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","SRJ5 - Petrópolis","172",1,"2024-04-10 20:02:52.475382"
"15","agE-WfN1fnkKSoVXqGJUnbw","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","SSC4 - Chapecó","169",1,"2024-04-10 20:02:52.476137"
"16","a5SVFrce9-kKPe47ajI6Mdw","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","CONCORRENTE  - Shopee","5168",1,"2024-04-10 20:02:52.47695"
"17","apEEx-ToOZkGezu5sUHIiYw","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Dieselserv","4589",1,"2024-04-10 20:02:52.477775"
"18","a7eXD39WwwEiBFy7xUBRTrg","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Minoro Centro Automotivo","4157",1,"2024-04-10 20:02:52.478666"
"19","arjeE7oZZQ0iK50BS6AyYyg","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Retica E Distrib Pecas  Tiete","4324",1,"2024-04-10 20:02:52.479481"
"20","azJAiHX8rLEOWNeF908gjIA","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Caring Car","4243",1,"2024-04-10 20:02:52.480506"
"21","azR9VahNM80mcfUCiCaJIvw","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Chevron Centro Automotivo","4384",1,"2024-04-10 20:02:52.481422"
"22","aiWcdCwRapEGaOzHv_6sDGg","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Garagem 203","4827",1,"2024-04-10 20:02:52.482277"
"23","af8f65hdHZ0anDJtJEviYug","2024-03-25 16:10:45.403","2050-01-01 00:00:00","Custom","","Velocidade > 8% via teste Jales.","5518",1,"2024-04-10 20:02:52.48313"
"24","RuleEnhancedMajorCollisionId","2023-06-02 20:49:14.66","2050-01-01 00:00:00","Stock","","Major Collision","5396",1,"2024-04-10 20:02:52.484099"
"25","akCH7NsjOLkyWMvS3BMvLJA","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Br France Veiculos L","4453",1,"2024-04-10 20:02:52.484846"
"26","aGbxz3DtZpkyNUZWjstzauA","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Big Service Auto Cen","4596",1,"2024-04-10 20:02:52.485472"
"27","ae4yu70jVP0apahtGHTiTtA","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Mecanica De Castro","4429",1,"2024-04-10 20:02:52.4861"
"28","aVHKI6i7HV0m5p6IWV2BiLw","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Personal Checkup","4987",1,"2024-04-10 20:02:52.486796"
"29","aE-rhsDzzP0mM4JfRTscGAQ","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - D C Comercio De Peca","4364",1,"2024-04-10 20:02:52.487448"
"30","aYx21-DxwokO5b3kZgw6qNA","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Pneu Center","4522",1,"2024-04-10 20:02:52.48816"
"31","a1VgMthDzk0SvfQLkhF4lRw","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Hds Belem","4770",1,"2024-04-10 20:02:52.488883"
"32","aOvWIoF3Z4kiyhzPZrw-gsA","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Rei Das Baterias Ltd","4755",1,"2024-04-10 20:02:52.489546"
"33","a3TDv3yHkPkWStbekPKgEJg","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","CONCORRENTE  - CD Via Varejo MA","5100",1,"2024-04-10 20:02:52.490227"
"34","aCTkb-I9W6EyqzylGXBzqgA","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","SMG4 - Ipatinga","156",1,"2024-04-10 20:02:52.491063"
"35","aLkb_klf5tk27mrm-RpQFgw","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Azzurra France - Rio de Janeiro","4850",1,"2024-04-10 20:02:52.49186"
"36","aTkz3hKl7aU-Z4S92cGqvGw","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Centro Automotivo","4351",1,"2024-04-10 20:02:52.492618"
"37","aBywlC80pxUStr5IjemdSvw","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","AREA DE RISCO VILA UNIÃO ZL","5286",1,"2024-04-10 20:02:52.493296"
"38","arg68BxuL70SOYndDWoWQaw","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","CONCORRENTE  - DSP5 - Amazon","5029",1,"2024-04-10 20:02:52.493934"
"39","aL75_5qQlyk6f0DA7pno1Gw","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","CONCORRENTE  - CD B2W PA - B2W","5050",1,"2024-04-10 20:02:52.494575"
"40","a_YNSdmaaqUSGjtWdHSgddA","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Renov Car","4694",1,"2024-04-10 20:02:52.49523"
"41","a0mXWvJm_CUOufcdAChwhxQ","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA  - POIARES CENTRO AUT","583",1,"2024-04-10 20:02:52.495951"
"42","aUndzNVw7fUGhIzMdCfgzqw","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Martucci Car","4517",1,"2024-04-10 20:02:52.496671"
"43","alVebQTGSe02lJrBQeaT7ig","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Autoglass - Ribeirão Preto","4937",1,"2024-04-10 20:02:52.499135"
"44","aiMs4tlPsWUCz7cwYsnUwnQ","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Fmbj Car Auto Mecânica","4385",1,"2024-04-10 20:02:52.499898"
"45","aoeN5rhh8h02mwh7KLKOupw","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Msm Adesivos","4460",1,"2024-04-10 20:02:52.500628"
"46","a8uWWNLqhKEGV6UIabe9Edg","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Vincol Max Vila Mury","4305",1,"2024-04-10 20:02:52.501348"
"47","aXqpWb1nHf0eCorgVgX1Vdw","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Planeta Carro","4286",1,"2024-04-10 20:02:52.502082"
